Date,SARIMAX_Forecast,LSTM_Correction,Hybrid_Forecast
2025-01-31,48.65,38.099216,54.217589322888884
2025-02-28,48.65,38.076042,53.95467913076106
2025-03-31,48.65,38.076862,53.963981985350124
2025-04-30,48.65,38.05469,53.71245855940942
2025-05-31,48.65,37.993275,53.0157081293588
2025-06-30,50.90166667000001,37.952526,54.80512241791808
2025-07-31,51.75083334,37.94478,55.566350467108705
2025-08-31,53.34984849000001,37.93821,57.09086577747842
2025-09-30,54.11996667000001,37.93207,57.79132338071188
2025-10-31,55.56666667000001,37.927063,59.181213269945374
2025-11-30,58.24266667,37.924316,61.82607541645224
2025-12-31,60.46166667000001,37.92303,64.03047836962769
2026-01-31,60.46166667000001,37.922073,64.01962579104563
2026-02-28,60.46166667000001,37.92139,64.0118523626093
2026-03-31,60.46166667000001,37.920944,64.0067833797441
2026-04-30,60.46166667000001,37.92068,64.00382118382072
2026-05-31,60.46166667000001,37.920525,64.00202466386544
2026-06-30,62.71333334000001,37.920414,66.25247056375954
2026-07-31,63.56250001000001,37.920345,67.10083756329163
2026-08-31,65.16151516000001,37.9203,68.69934881135296
2026-09-30,65.93163334000002,37.920273,69.4691547912388
2026-10-31,67.37833334000001,37.920254,70.91565567909167
2026-11-30,70.05433334,37.920246,73.59152615953964
2026-12-31,72.27333334000001,37.92024,75.81044335723898
2027-01-31,72.27333334000001,37.92023,75.81039051841677
2027-02-28,72.27333334000001,37.92023,75.81035733305892
2027-03-31,72.27333334000001,37.920227,75.81033606865485
2027-04-30,72.27333334000001,37.920227,75.81032253676136
2027-05-31,72.27333334000001,37.920223,75.81031383768698
2027-06-30,74.52500001000001,37.920223,78.06197535267994
2027-07-31,75.37416668000002,37.920223,78.91113847861259
2027-08-31,76.97318183000002,37.920223,80.51015105110906
2027-09-30,77.74330001000001,37.920223,81.28026794235731
2027-10-31,79.19000001000002,37.920223,82.72696665360554
2027-11-30,81.86600001000001,37.920223,85.4029663314176
2027-12-31,84.08500001000002,37.920223,87.62196600922967
2028-01-31,84.08500001000002,37.920223,87.62196568704172
2028-02-29,84.08500001000002,37.920223,87.62196536485378
2028-03-31,84.08500001000002,37.920223,87.62196536485378
2028-04-30,84.08500001000002,37.920223,87.62196536485378
2028-05-31,84.08500001000002,37.920223,87.62196536485378
2028-06-30,86.33666668000002,37.920223,89.87363203485378
2028-07-31,87.18583335000002,37.920223,90.72279870485379
2028-08-31,88.78484850000002,37.920223,92.32181385485379
2028-09-30,89.55496668000002,37.920223,93.09193203485378
2028-10-31,91.00166668000001,37.920223,94.53863203485379
2028-11-30,93.67766668000003,37.920223,97.21463203485379
2028-12-31,95.89666668000001,37.920223,99.43363203485379
2029-01-31,95.89666668000001,37.920223,99.43363203485379
2029-02-28,95.89666668000001,37.920223,99.43363203485379
2029-03-31,95.89666668000001,37.920223,99.43363203485379
2029-04-30,95.89666668000001,37.920223,99.43363203485379
2029-05-31,95.89666668000001,37.920223,99.43363203485379
2029-06-30,98.14833335000004,37.920223,101.6852987048538
2029-07-31,98.99750002000003,37.920223,102.5344653748538
2029-08-31,100.59651517000005,37.920223,104.13348052485381
2029-09-30,101.36663335000004,37.920223,104.9035987048538
2029-10-31,102.81333335000004,37.920223,106.35029870485381
2029-11-30,105.48933335000005,37.920223,109.02629870485382
2029-12-31,107.70833335000003,37.920223,111.24529870485381
